STATION_NAME                                           DATE           PRCP      TMAX      TMIN      
MOULTON 2 AL US                                        20180307       0.00      145.4     95        
MOULTON 2 AL US                                        20180308       0.00      145.4     80.6      
MOULTON 2 AL US                                        20180309       0.00      116.6     77        
MOULTON 2 AL US                                        20180310       0.10      145.4     93.2      
MOULTON 2 AL US                                        20180311       0.71      138.2     122       
MOULTON 2 AL US                                        20180312       0.09      136.4     93.2      
MOULTON 2 AL US                                        20180313       0.00      125.6     82.4      
MOULTON 2 AL US                                        20180314       0.00      129.2     82.4      
MOULTON 2 AL US                                        20180315       0.00      122       80.6      
MOULTON 2 AL US                                        20180316       0.00      152.6     87.8      
MOULTON 2 AL US                                        20180317       0.11      150.8     107.6     
MOULTON 2 AL US                                        20180318       0.00      170.6     118.4     
MOULTON 2 AL US                                        20180319       0.25      143.6     118.4     
MOULTON 2 AL US                                        20180320       0.89      163.4     118.4     
MOULTON 2 AL US                                        20180321       0.00      122       89.6      
MOULTON 2 AL US                                        20180322       0.00      122       84.2      
MOULTON 2 AL US                                        20180323       0.02      136.4     89.6      
MOULTON 2 AL US                                        20180324       0.01      140       105.8     
MOULTON 2 AL US                                        20180325       0.26      156.2     132.8     
MOULTON 2 AL US                                        20180326       0.00      145.4     120.2     
MOULTON 2 AL US                                        20180327       0.00      131       114.8     
MOULTON 2 AL US                                        20180328       0.00      149       114.8     
MOULTON 2 AL US                                        20180329       0.48      161.6     138.2     
MOULTON 2 AL US                                        20180330       0.60      161.6     120.2     
MOULTON 2 AL US                                        20180331       0.00      138.2     95        
ALICEVILLE AL US                                       20180301       0.35      172.4     129.2     
ALICEVILLE AL US                                       20180302       0.00      141.8     118.4     
ALICEVILLE AL US                                       20180303       0.00      145.4     87.8      
ALICEVILLE AL US                                       20180304       0.00      154.4     109.4     
ALICEVILLE AL US                                       20180305       0.00      159.8     123.8     
ALICEVILLE AL US                                       20180306       0.50      159.8     120.2     
ALICEVILLE AL US                                       20180307       0.00      150.8     93.2      
ALICEVILLE AL US                                       20180308       0.00      123.8     84.2      
ALICEVILLE AL US                                       20180309       0.00      134.6     95        
ALICEVILLE AL US                                       20180310       0.00      154.4     84.2      
ALICEVILLE AL US                                       20180311       2.40      165.2     131       
ALICEVILLE AL US                                       20180312       0.30      143.6     102.2     
ALICEVILLE AL US                                       20180313       0.00      132.8     87.8      
ALICEVILLE AL US                                       20180314       0.00      132.8     86        
ALICEVILLE AL US                                       20180315       0.00      132.8     86        
ALICEVILLE AL US                                       20180316       0.00      156.2     95        
ALICEVILLE AL US                                       20180317       0.37      152.6     123.8     
ALICEVILLE AL US                                       20180318       0.30      179.6     136.4     
ALICEVILLE AL US                                       20180319       0.00      154.4     140       
ALICEVILLE AL US                                       20180320       0.00      177.8     123.8     
ALICEVILLE AL US                                       20180321       0.00      132.8     98.6      
ALICEVILLE AL US                                       20180322       0.00      138.2     87.8      
ALICEVILLE AL US                                       20180323       0.00      145.4     105.8     
ALICEVILLE AL US                                       20180324       0.00      163.4     125.6     
ALICEVILLE AL US                                       20180325       0.00      174.2     131       
ALICEVILLE AL US                                       20180326       0.00      167       125.6     
ALICEVILLE AL US                                       20180327       0.00      134.6     123.8     
ALICEVILLE AL US                                       20180328       0.00      158       127.4     
ALICEVILLE AL US                                       20180329       0.00      174.2     140       
ALICEVILLE AL US                                       20180330       0.65      143.6     116.6     
ALICEVILLE AL US                                       20180331       0.00      145.4     75.2      
RUSSELLVILLE NUMBER 2 AL US                            20180302       1.30      152.6     104       
RUSSELLVILLE NUMBER 2 AL US                            20180303       0.00      134.6     100.4     
RUSSELLVILLE NUMBER 2 AL US                            20180306       0.20      156.2     96.8      
RUSSELLVILLE NUMBER 2 AL US                            20180307       0.00      140       95        
RUSSELLVILLE NUMBER 2 AL US                            20180308       0.00      116.6     82.4      
RUSSELLVILLE NUMBER 2 AL US                            20180309       0.00      122       78.8      
RUSSELLVILLE NUMBER 2 AL US                            20180310       0.00      138.2     95        
RUSSELLVILLE NUMBER 2 AL US                            20180311       1.20      140       96.8      
